"","genes","res"
"1","PROL1","r33_r34"
"2","POSTN","r33_r34"
"3","CERS3","r33_r34"
"4","F5","r33_r34"
"5","MANSC1","r33_r34"
"6","XDH","r33_r34"
"7","EDIL3","r33_r34"
"8","LOC101927416","r33_r34"
"9","TNFSF13B","r33_r34"
"10","IRG1","r33_r34"
"11","ALOX15","r33_r34"
"12","MCTP1","r33_r34"
"13","EREG","r33_r34"
"14","HSD17B13","r33_r34"
"15","CNR1","r33_r34"
"16","MAN1A1","r33_r34"
"17","PLXDC2","r33_r34"
"18","CLEC2B","r33_r34"
"19","PRR32","r33_r34"
"20","GBP2","r33_r34"
"21","SNX10","r33_r34"
"22","NGRN","r33_r34"
"23","SAMD9","r33_r34"
"24","SLC39A2","r33_r34"
"25","DIO1","r33_r34"
"26","CPM","r33_r34"
"27","CEACAM7","r33_r34"
"28","TMPRSS11E","r33_r34"
"29","FYB","r33_r34"
"30","PRRG1","r33_r34"
"31","IFIT2","r33_r34"
"32","DUSP4","r33_r34"
"33","PCDHAC2","r33_r34"
"34","SLC22A3","r33_r34"
"35","COL6A6","r33_r34"
"36","EVI2A","r33_r34"
"37","HP","r33_r34"
"38","DDIT4L","r33_r34"
"39","NAIP","r33_r34"
"40","MROH9","r33_r34"
"41","MS4A8","r33_r34"
"42","LRRC48","r33_r34"
"43","TMPRSS11A","r33_r34"
"44","KIAA1551","r33_r34"
"45","CHST5","r33_r34"
"46","IVL","r33_r34"
"47","A2ML1","r33_r34"
"48","IGSF6","r33_r34"
"49","DNAH9","r33_r34"
"50","CX3CR1","r33_r34"
"51","MAP6","r33_r34"
"52","CLEC7A","r33_r34"
"53","C15orf26","r33_r34"
"54","HEPHL1","r33_r34"
"55","BIN2","r33_r34"
"56","GBP5","r33_r34"
"57","ADRA2A","r33_r34"
"58","MYO15A","r33_r34"
"59","KCNE1","r33_r34"
"60","SULT1B1","r33_r34"
"61","FAM201A","r33_r34"
"62","FCGR3A","r33_r34"
"63","FGL2","r33_r34"
"64","DDX60L","r33_r34"
"65","ST8SIA4","r33_r34"
"66","HSPA7","r33_r34"
"67","HIF1A-AS2","r33_r34"
"68","ALOX15P1","r33_r34"
"69","SMCHD1","r33_r34"
"70","TMPRSS11D","r33_r34"
"71","CLEC5A","r33_r34"
"72","MYLK3","r33_r34"
"73","AOAH","r33_r34"
"74","DMRT3","r33_r34"
"75","CYBB","r33_r34"
"76","FAM47E","r33_r34"
"77","AIM2","r33_r34"
"78","FCGR1A","r33_r34"
"79","PTPRC","r33_r34"
"80","DNAH10","r33_r34"
"81","PCDHAC1","r33_r34"
"82","ZNF117","r33_r34"
"83","MFAP2","r33_r34"
"84","MNDA","r33_r34"
"85","DYDC1","r33_r34"
"86","CNGA4","r33_r34"
"87","LRRK2","r33_r34"
"88","RASSF3","r33_r34"
"89","C12orf75","r33_r34"
"90","LINC00332","r33_r34"
"91","PCSK6","r33_r34"
"92","CFAP52","r33_r34"
"93","CCDC40","r33_r34"
"94","FBXO15","r33_r34"
"95","CCDC151","r33_r34"
"96","MORN2","r33_r34"
"97","TTC30A","r33_r34"
"98","FLJ32255","r33_r34"
"99","PRDM1","r33_r34"
"100","GIMAP4","r33_r34"
"101","PTPRD","r33_r34"
"102","SPAG8","r33_r34"
"103","AP1S2","r33_r34"
"104","SCEL","r33_r34"
"105","LRRC18","r33_r34"
"106","GCA","r33_r34"
"107","ARHGAP15","r33_r34"
"108","MSR1","r33_r34"
"109","UBE2D1","r33_r34"
"110","EPB41L3","r33_r34"
"111","EID2B","r33_r34"
"112","IGFBP5","r33_r34"
"113","C1orf189","r33_r34"
"114","CCDC113","r33_r34"
"115","NTRK2","r33_r34"
"116","HYDIN","r33_r34"
"117","PLA2G7","r33_r34"
"118","TLR4","r33_r34"
"119","DUOX2","r33_r34"
"120","PLBD1","r33_r34"
"121","HOPX","r33_r34"
"122","FAM149A","r33_r34"
"123","NLRC4","r33_r34"
"124","SYK","r33_r34"
"125","FCGR2C","r33_r34"
"126","DNAH3","r33_r34"
"127","TPSD1","r33_r34"
"128","CASP5","r33_r34"
"129","TNFAIP8L1","r33_r34"
"130","GABRQ","r33_r34"
"131","CARD16","r33_r34"
"132","FCGR1B","r33_r34"
"133","PMAIP1","r33_r34"
"134","SPATA18","r33_r34"
"135","PIH1D3","r33_r34"
"136","HRNR","r33_r34"
"137","SKAP2","r33_r34"
"138","LY96","r33_r34"
"139","SCEL-AS1","r33_r34"
"140","VWA3B","r33_r34"
"141","IL5RA","r33_r34"
"142","CHST2","r33_r34"
"143","MEF2C","r33_r34"
"144","TCTE1","r33_r34"
"145","MBOAT2","r33_r34"
"146","DUSP5","r33_r34"
"147","CFAP61","r33_r34"
"148","RSPH1","r33_r34"
"149","LDLRAD1","r33_r34"
"150","DLG5-AS1","r33_r34"
"151","ENTPD1","r33_r34"
"152","BCAT1","r33_r34"
"153","RND1","r33_r34"
"154","USP15","r33_r34"
"155","LINC00173","r33_r34"
"156","MAP1A","r33_r34"
"157","PRSS54","r33_r34"
"158","EVI2B","r33_r34"
"159","SLC8A1","r33_r34"
"160","LKAAEAR1","r33_r34"
"161","CFAP99","r33_r34"
"162","TLR10","r33_r34"
"163","LOC441081","r33_r34"
"164","PPIL6","r33_r34"
"165","PCDHA12","r33_r34"
"166","C1orf194","r33_r34"
"167","VAV3","r33_r34"
"168","MPEG1","r33_r34"
"169","TMEM231","r33_r34"
"170","QPCT","r33_r34"
"171","MN1","r33_r34"
"172","GLIPR1","r33_r34"
"173","MIR3187","r33_r34"
"174","PCDHA1","r33_r34"
"175","CDKN2B","r33_r34"
"176","LRMP","r33_r34"
"177","LINC00443","r33_r34"
"178","SP140","r33_r34"
"179","PCDHA7","r33_r34"
"180","PCDHA13","r33_r34"
"181","PIP","r33_r34"
"182","SPIN4","r33_r34"
"183","FAM198B","r33_r34"
"184","PNMAL1","r33_r34"
"185","MLKL","r33_r34"
"186","PCDHA11","r33_r34"
"187","PCDHA9","r33_r34"
"188","TSNAXIP1","r33_r34"
"189","SPATS1","r33_r34"
"190","TEKT1","r33_r34"
"191","UMODL1","r33_r34"
"192","TMEM151B","r33_r34"
"193","PCDHA2","r33_r34"
"194","LOC80078","r33_r34"
"195","MS4A7","r33_r34"
"196","KIF9","r33_r34"
"197","UFC1","r33_r34"
"198","RPTN","r33_r34"
"199","LPPR3","r33_r34"
"200","SEC14L4","r33_r34"
"201","MME","r33_r34"
"202","PCDHA3","r33_r34"
"203","PCDHA8","r33_r34"
"204","NPL","r33_r34"
"205","CNIH2","r33_r34"
"206","CYP27C1","r33_r34"
"207","PHLDA1","r33_r34"
"208","CFAP221","r33_r34"
"209","NAMPT","r33_r34"
"210","CFAP126","r33_r34"
"211","SAP30","r33_r34"
"212","CETN2","r33_r34"
"213","SLC24A4","r33_r34"
"214","UBXN10","r33_r34"
"215","PLEKHB1","r33_r34"
"216","LRRC23","r33_r34"
"217","STOML3","r33_r34"
"218","TM4SF19-TCTEX1D2","r33_r34"
"219","PCDHA5","r33_r34"
"220","CYP3A5","r33_r34"
"221","MSI1","r33_r34"
"222","BLNK","r33_r34"
"223","KIAA2012","r33_r34"
"224","GK","r33_r34"
"225","ANKK1","r33_r34"
"226","DNAJC22","r33_r34"
"227","SLC27A2","r33_r34"
"228","EFCAB12","r33_r34"
"229","CCNL1","r33_r34"
"230","TLR6","r33_r34"
"231","PCDHA6","r33_r34"
"232","GJB1","r33_r34"
"233","DOCK11","r33_r34"
"234","LPCAT2","r33_r34"
"235","YPEL4","r33_r34"
"236","MXD1","r33_r34"
"237","FAM86B1","r33_r34"
"238","JMJD1C","r33_r34"
"239","TTC30B","r33_r34"
"240","LOC101927056","r33_r34"
"241","LRAT","r33_r34"
"242","CEP72","r33_r34"
"243","EFCAB10","r33_r34"
"244","CSGALNACT1","r33_r34"
"245","MAF","r33_r34"
"246","PCDHA4","r33_r34"
"247","C14orf37","r33_r34"
"248","P2RY13","r33_r34"
"249","ZEB1","r33_r34"
"250","SPAG6","r33_r34"
"251","BOD1L1","r33_r34"
"252","TTC12","r33_r34"
"253","RASAL1","r33_r34"
"254","KIF19","r33_r34"
"255","CCDC108","r33_r34"
"256","CD86","r33_r34"
"257","CREBRF","r33_r34"
"258","ZNF267","r33_r34"
"259","CEACAM1","r33_r34"
"260","MIR5090","r33_r34"
"261","ZEB2","r33_r34"
"262","RGS2","r33_r34"
"263","DUSP6","r33_r34"
"264","KCNRG","r33_r34"
"265","RSPH14","r33_r34"
"266","JAKMIP2-AS1","r33_r34"
"267","ZMYND12","r33_r34"
"268","DNAAF1","r33_r34"
"269","C6orf118","r33_r34"
"270","LOC100506990","r33_r34"
"271","LOC100499484-C9ORF174","r33_r34"
"272","CCDC180","r33_r34"
"273","PCDHA10","r33_r34"
"274","LOC643802","r33_r34"
"275","DNER","r33_r34"
"276","LOC101928270","r33_r34"
"277","CHD1","r33_r34"
"278","DOCK2","r33_r34"
"279","RIBC2","r33_r34"
"280","STEAP4","r33_r34"
"281","SAXO2","r33_r34"
"282","RSPH10B2","r33_r34"
"283","RSPH10B","r33_r34"
"284","TCTEX1D2","r33_r34"
"285","TGFBI","r33_r34"
"286","DNAJC25-GNG10","r33_r34"
"287","DNALI1","r33_r34"
"288","SELE","r33_r34"
"289","NRBF2","r33_r34"
"290","C11orf70","r33_r34"
"291","LRRC43","r33_r34"
"292","ANKRD36","r33_r34"
"293","CNTN3","r33_r34"
"294","VNN2","r33_r34"
"295","MYEOV","r33_r34"
"296","BACH1","r33_r34"
"297","TLR2","r33_r34"
"298","TEKT2","r33_r34"
"299","TTC25","r33_r34"
"300","C20orf96","r33_r34"
"301","C22orf15","r33_r34"
"302","PDE5A","r33_r34"
"303","SLC26A2","r33_r34"
"304","ZCCHC6","r33_r34"
"305","C11orf74","r33_r34"
"306","IL18RAP","r33_r34"
"307","GNG10","r33_r34"
"308","BAZ1A","r33_r34"
"309","FLI1","r33_r34"
"310","CACNA1C","r33_r34"
"311","CCDC74B","r33_r34"
"312","KCNH7","r33_r34"
"313","GM2A","r33_r34"
"314","RIBC1","r33_r34"
"315","HSPB11","r33_r34"
"316","B3GALT5","r33_r34"
"317","C9orf171","r33_r34"
"318","TTLL10","r33_r34"
"319","FAM216B","r33_r34"
"320","CR1","r33_r34"
"321","MGAM2","r33_r34"
"322","RAB3B","r33_r34"
"323","CCDC74A","r33_r34"
"324","TUBA4B","r33_r34"
"325","CDHR4","r33_r34"
"326","ERV3-1","r33_r34"
"327","UPK3BL","r33_r34"
"328","ARMC3","r33_r34"
"329","ANKRD44","r33_r34"
"330","VENTX","r33_r34"
"331","CCDC65","r33_r34"
"332","ZNF438","r33_r34"
"333","QKI","r33_r34"
"334","NPHP1","r33_r34"
"335","ABHD5","r33_r34"
"336","DAB2","r33_r34"
"337","MILR1","r33_r34"
"338","TET2","r33_r34"
"339","A2M","r33_r34"
"340","TLR1","r33_r34"
"341","SPA17","r33_r34"
"342","UMODL1-AS1","r33_r34"
"343","FAM49B","r33_r34"
"344","DOCK8","r33_r34"
"345","C11orf97","r33_r34"
"346","DNAI1","r33_r34"
"347","ZNF474","r33_r34"
"348","ZC2HC1C","r33_r34"
"349","PLXNC1","r33_r34"
"350","CD300LF","r33_r34"
"351","KIAA1211L","r33_r34"
"352","B3GALT5-AS1","r33_r34"
"353","ARID4A","r33_r34"
"354","CCDC17","r33_r34"
"355","PIFO","r33_r34"
"356","SDR9C7","r33_r34"
"357","ADRA2C","r33_r34"
"358","FCGR3B","r33_r34"
"359","TFF3","r33_r34"
"360","MARCKS","r33_r34"
"361","NME9","r33_r34"
"362","GAS2L2","r33_r34"
"363","CDHR3","r33_r34"
"364","C2orf50","r33_r34"
"365","RSPH4A","r33_r34"
"366","SLC22A14","r33_r34"
"367","KYNU","r33_r34"
"368","ARC","r33_r34"
"369","MYZAP","r33_r34"
"370","POLR2J2","r33_r34"
"371","UCA1","r33_r34"
"372","ANKUB1","r33_r34"
"373","CCNG2","r33_r34"
"374","STMND1","r33_r34"
"375","AGR3","r33_r34"
"376","CEP41","r33_r34"
"377","TNFSF8","r33_r34"
"378","CAPSL","r33_r34"
"379","KRT31","r33_r34"
"380","ENTPD1-AS1","r33_r34"
"381","MIR34C","r33_r34"
"382","CCDC103","r33_r34"
"383","TRIM9","r33_r34"
"384","GDPD3","r33_r34"
"385","DRC1","r33_r34"
"386","SMYD2","r33_r34"
"387","NCCRP1","r33_r34"
"388","CEACAM6","r33_r34"
"389","LOC105747689","r33_r34"
"390","SLC32A1","r33_r34"
"391","KCNJ15","r33_r34"
"392","C21orf58","r33_r34"
"393","IFT122","r33_r34"
"394","ROPN1L","r33_r34"
"395","SNX18","r33_r34"
"396","GFPT2","r33_r34"
"397","EFCAB1","r33_r34"
"398","ERICH5","r33_r34"
"399","SEMA4D","r33_r34"
"400","LRRC71","r33_r34"
"401","C21orf59","r33_r34"
"402","C9orf9","r33_r34"
"403","ARMC4","r33_r34"
"404","FAM157C","r33_r34"
"405","AK8","r33_r34"
"406","LACTB","r33_r34"
"407","DIXDC1","r33_r34"
"408","LOC100507291","r33_r34"
"409","PPP1R32","r33_r34"
"410","ARL11","r33_r34"
"411","RNF149","r33_r34"
"412","GLB1L","r33_r34"
"413","YOD1","r33_r34"
"414","FAM92B","r33_r34"
"415","SNORD89","r33_r34"
"416","CRISPLD2","r33_r34"
"417","PPP1R12A","r33_r34"
"418","RSPH9","r33_r34"
"419","KIF6","r33_r34"
"420","TCTN1","r33_r34"
"421","CCDC89","r33_r34"
"422","SERPINF1","r33_r34"
"423","ACSL1","r33_r34"
"424","ALOX12","r33_r34"
"425","DNAH2","r33_r34"
"426","ODF2","r33_r34"
"427","ANKRD54","r33_r34"
"428","CFAP74","r33_r34"
"429","SLC38A8","r33_r34"
"430","TPPP","r33_r34"
"431","HS3ST3B1","r33_r34"
"432","RICTOR","r33_r34"
"433","FANK1","r33_r34"
"434","CCDC96","r33_r34"
"435","LRGUK","r33_r34"
"436","NUDC","r33_r34"
"437","NABP1","r33_r34"
"438","RBM24","r33_r34"
"439","HGF","r33_r34"
"440","PRUNE2","r33_r34"
"441","CD163","r33_r34"
"442","NFKBIZ","r33_r34"
"443","TLR8","r33_r34"
"444","C10orf105","r33_r34"
"445","AGBL2","r33_r34"
"446","C16orf71","r33_r34"
"447","TRIM25","r33_r34"
"448","LRRC34","r33_r34"
"449","TTC26","r33_r34"
"450","PPP1R3B","r33_r34"
"451","PCYT1B","r33_r34"
"452","LINC00282","r33_r34"
"453","CFAP54","r33_r34"
"454","CARD8","r33_r34"
"455","TTLL9","r33_r34"
"456","TTLL6","r33_r34"
"457","SLC38A5","r33_r34"
"458","PDP1","r33_r34"
"459","CELF2-AS1","r33_r34"
"460","CFAP45","r33_r34"
"461","FGFBP2","r33_r34"
"462","SPATA17","r33_r34"
"463","NRAV","r33_r34"
"464","GRM7","r33_r34"
"465","PACRG","r33_r34"
"466","DCDC2","r33_r34"
"467","DAW1","r33_r34"
"468","ECT2L","r33_r34"
"469","LOC100101148","r33_r34"
"470","CHST15","r33_r34"
"471","BTG1","r33_r34"
"472","GPR135","r33_r34"
"473","AK7","r33_r34"
"474","NWD1","r33_r34"
"475","PTK6","r33_r34"
"476","MERTK","r33_r34"
"477","IQCD","r33_r34"
"478","CCNJL","r33_r34"
"479","LOC541473","r33_r34"
"480","PSTPIP2","r33_r34"
"481","LYST","r33_r34"
"482","CFAP57","r33_r34"
"483","PRB1","r33_r34"
"484","GAS8","r33_r34"
"485","GEM","r33_r34"
"486","RCAN3AS","r33_r34"
"487","MMRN2","r33_r34"
"488","HBG2","r33_r34"
"489","ABCC6P1","r33_r34"
"490","LOC100272216","r33_r34"
"491","STS","r33_r34"
"492","TINAGL1","r33_r34"
"493","ST6GALNAC3","r33_r34"
"494","VCAN","r33_r34"
"495","EFHC1","r33_r34"
"496","OSBPL8","r33_r34"
"497","PZP","r33_r34"
"498","PTPRJ","r33_r34"
"499","RAB8B","r33_r34"
"500","SH3TC2","r33_r34"
"501","SPRY4","r33_r34"
"502","NUP62CL","r33_r34"
"503","TUSC3","r33_r34"
"504","C9orf117","r33_r34"
"505","ARX","r33_r34"
"506","MMP2","r33_r34"
"507","FABP6","r33_r34"
"508","IFRD1","r33_r34"
"509","LRRC74B","r33_r34"
"510","CCDC33","r33_r34"
"511","DNAI2","r33_r34"
"512","MORN1","r33_r34"
"513","LOC100131257","r33_r34"
"514","C16orf46","r33_r34"
"515","SSH2","r33_r34"
"516","DZIP1L","r33_r34"
"517","AGPAT9","r33_r34"
"518","DCDC2B","r33_r34"
"519","ARG1","r33_r34"
"520","DUSP10","r33_r34"
"521","TCTN2","r33_r34"
"522","DNAAF2","r33_r34"
"523","TTC16","r33_r34"
"524","CTH","r33_r34"
"525","BBS5","r33_r34"
"526","VWA3A","r33_r34"
"527","PIK3CG","r33_r34"
"528","WDR66","r33_r34"
"529","MIR6884","r33_r34"
"530","SLC23A1","r33_r34"
"531","LMNB1","r33_r34"
"532","EFCAB6","r33_r34"
"533","DTX3","r33_r34"
"534","C20orf85","r33_r34"
"535","DNAAF3","r33_r34"
"536","SPATA17-AS1","r33_r34"
"537","RHBDL2","r33_r34"
"538","RAG2","r33_r34"
"539","DTHD1","r33_r34"
"540","ANOS1","r33_r34"
"541","BCL2L11","r33_r34"
"542","CC2D2A","r33_r34"
"543","VSIG10L","r33_r34"
"544","CCDC81","r33_r34"
"545","ASAH1","r33_r34"
"546","CDKN2A","r33_r34"
"547","PPP1R42","r33_r34"
"548","C9orf116","r33_r34"
"549","SLFN13","r33_r34"
"550","SNTN","r33_r34"
"551","LOC442028","r33_r34"
"552","C4orf22","r33_r34"
"553","DNAH17","r33_r34"
"554","CALB1","r33_r34"
"555","MEGF9","r33_r34"
"556","ZSCAN5A","r33_r34"
"557","ARMC9","r33_r34"
"558","PPP1R26-AS1","r33_r34"
"559","EFHC2","r33_r34"
"560","MOK","r33_r34"
"561","LOC200772","r33_r34"
"562","IL7R","r33_r34"
"563","CCDC60","r33_r34"
"564","LOC100505817","r33_r34"
"565","SCCPDH","r33_r34"
"566","DPCD","r33_r34"
"567","LOC100129175","r33_r34"
"568","PRR18","r33_r34"
"569","CES4A","r33_r34"
"570","ATP11A","r33_r34"
"571","C2orf70","r33_r34"
"572","LOC100506844","r33_r34"
"573","MORN3","r33_r34"
"574","AKAP14","r33_r34"
"575","FMO6P","r33_r34"
"576","IFT46","r33_r34"
"577","RABL2B","r33_r34"
"578","FAM104B","r33_r34"
"579","LOC727896","r33_r34"
"580","DNAH12","r33_r34"
"581","NME5","r33_r34"
"582","ZC3HAV1L","r33_r34"
"583","MPDZ","r33_r34"
"584","C9orf135","r33_r34"
"585","SPP1","r33_r34"
"586","CLEC4D","r33_r34"
"587","ANKRD66","r33_r34"
"588","SLC4A8","r33_r34"
"589","FAM179A","r33_r34"
"590","ANKRD36B","r33_r34"
"591","C6orf165","r33_r34"
"592","BTG4","r33_r34"
"593","USP2-AS1","r33_r34"
"594","LBR","r33_r34"
"595","PLEKHM1P","r33_r34"
"596","LINC00492","r33_r34"
"597","CIPC","r33_r34"
"598","LRRC46","r33_r34"
"599","PRR29","r33_r34"
"600","CLDN17","r33_r34"
"601","KNDC1","r33_r34"
"602","EFHB","r33_r34"
"603","ZSCAN12P1","r33_r34"
"604","HRH1","r33_r34"
"605","HEPH","r33_r34"
"606","CFAP46","r33_r34"
"607","C1orf87","r33_r34"
"608","MARCH10","r33_r34"
"609","CYP4F3","r33_r34"
"610","RUVBL1","r33_r34"
"611","WDR86-AS1","r33_r34"
"612","DYDC2","r33_r34"
"613","CFAP43","r33_r34"
"614","TULP3","r33_r34"
"615","C17orf97","r33_r34"
"616","E2F3","r33_r34"
"617","LRP2BP","r33_r34"
"618","LOC100132078","r33_r34"
"619","TBX3","r33_r34"
"620","LOC646903","r33_r34"
"621","RGL4","r33_r34"
"622","CCDC170","r33_r34"
